Week,2021,2022,2023,2024,2025
1,484,2057,2142,2279,1138
2,449,2081,2030,2951,1249
3,522,1655,2032,2277,1158
4,457,1297,1944,1976,975
5,620,925,1889,1993,1071
6,703,634,1672,1787,972
7,533,749,1604,1383,851
8,499,748,1663,1230,945
9,644,542,1438,964,828
10,563,613,1511,1042,941
11,422,733,1259,863,807
12,495,798,1661,666,828
13,471,788,1461,628,875
14,485,958,1801,544,990
15,539,775,1584,472,1178
16,602,950,1909,526,1190
17,448,1102,1896,524,1356
18,355,1209,1954,533,1358
19,254,1294,2054,523,1281
20,283,1576,2215,770,1377
21,365,1616,2289,550,1468
22,504,2052,2396,614,1364
23,591,2302,2730,704,1320
24,789,2775,2477,722,1345
25,779,2862,2120,870,1312
26,765,3263,1816,848,1215
27,837,2675,1718,1030,1061
28,808,2649,1726,1038,1091
29,706,2560,1564,966,1194
30,643,2198,1671,1028,1058
31,398,1915,1492,932,948
32,277,1590,1329,917,659
33,218,1486,1143,968,826
34,243,1304,1025,826,583
35,233,1254,729,783,553
36,262,1027,675,651,522
37,280,978,606,711,608
38,425,1014,590,593,591
39,423,1161,526,624,493
40,519,1152,684,663,546
41,688,1178,751,693,511
42,828,997,922,629,655
43,759,943,1204,678,653
44,826,1114,1531,675,729
45,933,1053,1586,667,
46,1130,1314,1798,701,
47,1169,1406,1986,880,
48,1599,1602,2472,727,
49,1806,1902,2730,778,
50,2255,2077,2438,906,
51,2208,1866,3375,627,
52,2026,1486,2770,979,
