HighRiskMOHAreas,Longitude,Latitude
CMC,79.8946962,6.9077326
Wattala,79.8927094,6.9898705
Negombo,79.833117,7.2094282
Thihagoda,80.565877,6.0127562
Battaramulla,79.9195776,6.9021809
Dehiwala,79.8659769,6.8512785
Gothatuwa,79.9060604,6.929658
Kaduwela,79.9843311,6.9357027
Kolonnawa,79.8903143,6.9326254
Maharagama,79.9266082,6.8472783
Biyagama,79.9905575,6.9444898
Gampaha,79.9159876,7.1190248
Ja-Ela,79.8907632,7.0793775
Kelaniya,79.9172715,6.9501246
Mirigama,80.1299215,7.2475144
Weligama,80.4295612,5.9754333
Rathnapura MC,80.403431,6.6786397
Batticaloa,81.5567533,7.8381021
Korale Pattu Central,80.75,7.33333
Oddamavady,81.57,7.917
Kinniya,81.1912179,8.5016494
MC Kandy,80.6376178,7.2989916
Matale MC,80.6244437,7.4562494
Nugegoda,79.8882835,6.8699688
Mahara,80.5743643,7.1617138
Weligama,80.4295612,5.9754333
Hambantota,81.1242563,6.1249126
Balangoda,80.7003844,6.744433
Homagama,80.0034457,6.8412384
Pitakotte,79.9020482,6.8840744
Yatinuwara,80.6357522,7.2963907
Matele MC,80.6184,7.4669
Welimada,80.9098123,6.9058393
Karaveddy,80.1948998,9.7880007
Rathmalana,79.8682643,6.8197463
Udunuwara,80.5985644,7.2174292
Koralai Pattu Central,81.3641,7.9686
Muthur,81.2547407,8.4472298
Akmeemana,80.2609968,6.0695562
Matara MC,80.5480971,5.947312
Attanagalla,80.1367665,7.1138383
Eravur,81.6044408,7.7855975
Oddamavadi,81.5211079,7.9158314
MC Galle,80.2129847,6.0329332
Kandy MC,80.6376178,7.2989916
Rattota,80.677573,7.5206092
