area,longitude,latitude
CMC,79.8709165,6.9013179
Wattala,79.8927094,6.9898705
Negombo,79.833117,7.2094282
Thihagoda,80.565877,6.0127562
Battaramulla,79.9195776,6.9021809
Dehiwala,79.8659769,6.8512785
Gothatuwa,79.9060604,6.929658
Kaduwela,79.9843311,6.9357027
Kolonnawa,79.8903143,6.9326254
Maharagama,79.9266082,6.8472783
Biyagama,79.9905575,6.9444898
Gampaha,79.9159876,7.1190248
Ja-Ela,79.8907632,7.0793775
Kelaniya,79.9172715,6.9501246
Mirigama,80.1299215,7.2475144
Weligama,80.4295612,5.9754333
Rathnapura MC,NA,NA
Batticaloa,81.5567533,7.8381021
Korale Pattu Central,NA,NA
Oddamavady,NA,NA
Kinniya,81.1912179,8.5016494
MC Kandy,80.6385428,7.6221785
Matale MC,NA,NA
Nugegoda,79.8882835,6.8699688
Mahara,80.5743643,7.1617138
Hambantota,81.1242563,6.1249126
Balangoda,80.6985655,6.6501434
Homagama,80.0034457,6.8412384
Pitakotte,79.9020482,6.8840744
Yatinuwara,80.6357973,7.2956961
Matele MC,NA,NA
Welimada,80.9098123,6.9058393
Karaveddy,80.1948998,9.7880007
Rathmalana,79.899045,6.8722141
Udunuwara,80.5744096,7.2277995
Koralai Pattu Central,NA,NA
Muthur,81.2547407,8.4472298
Akmeemana,80.2609968,6.0695562
Matara MC,NA,NA
Attanagalla,80.1367665,7.1138383
Eravur,81.6048021,7.7757162
Oddamavadi,81.5211079,7.9158314
MC Galle,NA,NA
Kandy MC,NA,NA
Rattota,80.677573,7.5206092
Pugoda,80.1203623,6.9758255
Wadduwa,79.9305102,6.6639728
Piliyandala,79.9231171,6.799951
MC Colombo,79.8702069,6.9070629
Moratuwa,79.8826095,6.7746821
Boralesgamuwa,79.9017028,6.8410598
Hanwella,80.0817106,6.9088363
Divulapitiya,80.0193654,7.2245446
Katana,79.9051957,7.2505527
Dompe,80.058322,6.9496578
MC Negombo,NA,NA
Minuwangoda,79.9484613,7.1692723
Ragama,79.9236484,7.0263493
Seeduwa,79.8782394,7.1306288
Panadura,79.9045759,6.7124132
Trincomalee,81.2344952,8.576425
Uppuveli,81.2178369,8.6005237
Chilaw,79.7956755,7.5765074
Kalpitiya,79.7661508,8.2368062
Eheliyagoda,80.2616052,6.8533967
Ruwanwella,80.2537792,7.0458636
CMC – D2A,NA,NA
CMC- D2B,NA,NA
CMC- D3,NA,NA
CMC- D4,NA,NA
CMC- D5,NA,NA
Kahathuduwa,79.9839654,6.7831285
CMC – D1,NA,NA
CMC- D2A,NA,NA
Muttur,81.267448,8.4485071
Kesbewa,79.940848,6.7957403
Kuruvita,NA,NA
CMC-D2A,NA,NA
Pandura,79.8314058,7.3572049
Pelmadulla,80.5431464,6.6234343
Madulla,80.9278679,7.0523951
Ukuwela,80.6331832,7.4212501
Elapatha,80.3677248,6.6560623
Godakawela,80.6510274,6.5046066
Rathnapura PS,NA,NA
Nivithigala,80.4577939,6.5959109
Bandaragama,79.9889673,6.7145129
Kalawana,80.3964775,6.5310929
Egodauyana,79.8995048,6.7299698
Ja- Ela,79.8907632,7.0793775
Kahawatta,80.573265,6.5831751
Mawanella,80.4468038,7.2523113
Werellagama,NA,NA
Dehiovita,80.2628683,6.9937426
Gangawata Korale,NA,NA
Medirigiriya,80.971342,8.1423253
CMC-D1,NA,NA
MC Matara,NA,NA
Badalkumbura,81.2359813,6.8952411
Gampola,80.5702744,7.1636487
Point Pedro,80.2361837,9.8241007
Chankanai Walikamam West,NA,NA
Kundasale,80.6844649,7.2804536
Baddegama,80.1779163,6.1724812
Elpitiya,80.1619048,6.2918848
Ambalantota,81.0238588,6.1224627
Kayts,79.8673045,9.6923229
Kurunegala,80.364908,7.4870464
