District,Total,Male,Femal
Colombo,"2,375,415","1,154,799","1,220,616"
Gampaha,"2,436,142","1,175,469","1,260,673"
 Kalutara,"1,305,784","631,106","674,678"
Kandy,"1,461,895","696,713","765,182"
Matale  ,"526,870","255,221","271,649"
Nuwara Eliya ,"725,280","346,471","378,809"
Galle,"1,097,372","527,640","569,732"
Matara,"837,889","401,980","435,909"
Hambantota ,"671,418","329,210","342,208"
Jaffna,"594,751","281,553","313,198"
Mannar,"123,756","61,047","62,709"
Vavuniya,"172,312","82,831","89,481"
Mullaitivu,"122,619","59,718","62,901"
Kilinochchi,"136,710","66,124","70,586"
Batticaloa,"595,918","278,885","317,033"
Ampara,"744,551","354,018","390,533"
Trincomalee,"442,745","217,704","225,041"
Kurunegala,"1,768,156","849,072","919,084"
Puttalam,"818,816","394,244","424,572"
Anuradhapura,"960,080","466,571","493,509"
Polonnaruwa,"447,530","219,686","227,844"
Badulla,"872,307","422,818","449,489"
Moneragala,"527,585","260,927","266,658"
Ratnapura,"1,145,423","562,459","582,964"
Kegalle,"870,476","416,078","454,398"
